chembl_id,smiles,IC50_nM,pIC50,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL100334,CN(CCOCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,120.0,6.92,11.939886160514648,11.939886160514648,0.2161526562650089,-0.2161526562650089,0.5238038568387031,10.538461538461538,371.50600000000014,346.30600000000015,371.16674804,138,0,0.2568992631206228,-0.3782935576637503,0.3782935576637503,0.2568992631206228,1.0384615384615385,1.6923076923076923,2.3846153846153846,32.09204712880172,10.193876840609533,2.0592247461273216,-2.1651587679683924,2.015726028373436,-2.4022974218930515,7.798385286554805,0.09742676852458552,2.6571119176413793,1.5187217938834536,679.970353685469,18.614673407305986,14.980995064720547,15.797491645648273,12.647867045540842,8.593741673419588,9.001989963883451,5.911804395436275,6.320052685900138,3.707658080439448,3.95405772035282,2.3423347601433893,2.5370945357340053,-2.279999999999999,727708.5551082798,20.03707879054472,11.3575732421875,7.735348595213322,159.90143985490886,10.05365155780638,0.0,5.112436884724758,0.0,5.907179729351506,0.0,15.011235518928629,0.0,0.0,0.0,48.53093654769288,36.9617310543441,25.197720709434723,13.213763929025836,9.53140013787187,23.237490057122958,0.0,15.533486938863138,0.0,6.544756405912575,33.35094872352818,71.7905736680101,0.0,0.0,10.633577208012662,0.0,0.0,12.217873443046695,49.270475068454914,11.281619359712625,0.0,15.921440167465814,60.6636706846161,0.0,0.0,0.0,53.6,0.0,4.794537184071822,0.0,5.907179729351506,30.434408711360163,13.08951281182515,5.563451491696996,12.13273413692322,36.39820241076966,34.71389305846355,16.954736396846744,5.605526890737929,5.11585268546748,14.155638762723779,5.931354451106504,1.8662280630226924,-0.2161526562650089,19.323334237043913,0.0,3.4792800113300446,2.072270888166,0.3,26,2,5,0,0,0,1,2,0,2,0,0,4,2,6,0,9,0,0,0,0,0,8.752791920118977,2,2.4395000000000007,108.10390000000002,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100366,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C=O)C12,780.4,6.11,12.154022187578736,12.154022187578736,0.0031437873460777865,-0.5355245601326952,0.8629265100949521,24.076923076923077,351.40600000000006,330.23800000000006,351.158291532,134,0,0.4165872884921271,-0.41009330218504386,0.4165872884921271,0.41009330218504386,1.2692307692307692,2.0384615384615383,2.769230769230769,16.550141745376287,9.811894347195848,2.5307686037393964,-2.307917378121903,2.513364227846107,-2.4619861466925665,5.8708156004378225,-0.10801619802072276,3.06645992771657,1.5908261929837606,854.6348406280622,18.311190308942127,14.806888316660862,14.806888316660862,12.525023798248393,8.6506655240232,8.6506655240232,7.093923187833658,7.093923187833658,5.4404926703236915,5.4404926703236915,4.218800266709341,4.218800266709341,-2.8599999999999994,1174368.2914374701,16.59997451191249,6.140911607579748,2.5367277542825413,151.90249088728464,4.736862953800049,5.749511833283905,0.0,6.410095306116121,0.0,6.093240070938415,19.911145249779107,4.794537184071822,0.0,0.0,25.122838405075452,49.36378043960824,23.334519424676476,6.165775612134527,14.325937321943691,23.878107926421663,0.0,4.899909730850477,0.0,24.92532490414794,23.809126723446575,54.09438803938988,0.0,5.749511833283905,14.953561288656857,16.169309733438947,5.749511833283905,0.0,37.1614491086293,10.209527653468601,0.0,18.90801031431363,48.53093654769288,0.0,0.0,0.0,61.88,6.093240070938415,9.589074368143644,0.0,11.580766081531305,11.436898107967467,30.62651110133526,0.0,23.09901093623531,37.37950732498524,17.140435534547432,4.736862953800049,5.462282690854119,0.0,27.78957182512797,2.704974568531116,2.4392139312106855,0.4717205215419502,14.627670466822842,1.3053012927061443,3.085163694101909,2.0307676757699307,0.3,26,1,6,0,2,2,2,2,0,2,2,0,4,1,6,2,3,0,1,1,0,1,3.92072985252813,4,3.193200000000002,99.46070000000006,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100510,CN(CCOCCNC(=S)NC(=O)c1ccc2ccccc2c1)Cc1ccccc1,100.0,7.0,12.38357427464919,12.38357427464919,0.22064056253862963,-0.22064056253862963,0.4085083511361954,10.866666666666667,421.56600000000014,394.35000000000025,421.182398104,156,0,0.25692187900819935,-0.3782935576637503,0.3782935576637503,0.25692187900819935,0.9666666666666667,1.7,2.5,32.092047368880365,10.07066856898293,2.0801269306947723,-2.165359879154326,2.150064705110216,-2.402476017661908,7.798390533409923,0.09743938295317052,2.760867484811884,1.299985456015072,978.3616889054235,21.183587508058327,17.135695603099798,17.952192184027524,14.614193540729628,9.998442211798842,10.406690502262705,7.1077088088600995,7.5159570993239635,4.683334626355623,4.929734266268996,3.0833666856500783,3.2781264612406944,-2.7999999999999985,6439160.191356818,21.89806717958341,11.401858501685812,6.914285714285717,182.583104386644,10.05365155780638,0.0,5.112436884724758,0.0,5.907179729351506,0.0,15.011235518928629,0.0,0.0,0.0,60.6636706846161,47.73417948327369,25.197720709434723,13.213763929025836,9.53140013787187,34.00993848605255,0.0,15.533486938863138,0.0,6.544756405912575,33.35094872352818,83.92330780493333,0.0,0.0,10.633577208012662,0.0,0.0,12.217873443046695,49.270475068454914,11.281619359712625,0.0,15.921440167465814,72.79640482153933,0.0,10.772448428929591,0.0,53.6,0.0,4.794537184071822,0.0,5.907179729351506,30.434408711360163,23.86196124075474,5.563451491696996,6.06636706846161,54.59730361615449,34.71389305846355,16.954736396846744,5.653720812201082,5.211724336597069,14.602999943718203,8.149224935157713,1.8654850439559518,-0.22064056253862963,23.88723155536208,0.0,3.441467552293612,2.0754530499195902,0.25,30,2,5,0,0,0,1,3,0,3,0,0,4,2,6,0,9,0,0,0,0,0,8.322622114734006,3,3.5927000000000024,125.60990000000002,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101028,CN(CCOCCNC(=S)Nc1ccc(OC(F)(F)F)cc1)Cc1ccccc1,1000.0,6.0,12.138999631040447,12.138999631040447,0.2846668143681854,-4.706195487466553,0.4412356642887475,11.344827586206897,427.49200000000013,403.3000000000002,427.154132668,158,0,0.5725963173373818,-0.4057973474312573,0.5725963173373818,0.4057973474312573,1.0344827586206897,1.7241379310344827,2.3793103448275863,32.092047407832546,10.193904727427132,2.3043937753284154,-2.1664955197748235,2.2336211862338344,-2.316727832969014,7.800803386373248,-0.2741873476163967,2.655883428181919,1.5524167021083528,742.8866841032202,21.11467340730598,16.0375382145586,16.854034795486328,13.815481705002746,9.025496130688321,9.433744421152184,6.288835053255051,6.697083343718915,3.790381764535433,4.0367814044488055,2.4485596399227876,2.6684728427365116,-2.3599999999999994,2008697.754402549,22.92419979014872,11.595473770523066,10.113785434131279,173.35006919315063,20.10730311561276,5.749511833283905,5.112436884724758,0.0,0.0,6.362358859030383,4.899909730850477,0.0,0.0,13.171245143024459,30.33183534230805,49.09446519126732,25.32165549242129,13.213763929025836,22.644971050624555,23.017696602455015,0.0,10.216698334856808,0.0,12.90711526494296,38.66773732753451,60.160755107851486,0.0,5.749511833283905,15.370440161812711,18.858631417708022,5.749511833283905,12.217873443046695,49.725654198133796,11.281619359712625,0.0,5.563451491696996,54.59730361615449,0.0,0.0,0.0,45.760000000000005,6.362358859030383,13.171245143024459,0.0,5.749511833283905,30.55834349434673,13.08951281182515,29.828919765543436,0.0,25.24677318806202,32.40308402958641,16.954736396846744,45.824915658241125,5.151706358726908,2.181660254018694,6.2310127009805285,1.8116396146138305,-0.2846668143681854,15.553217436337807,-4.706195487466553,3.2796853525945564,2.040358259654628,0.35,29,2,5,0,0,0,0,2,0,2,0,0,4,2,9,0,10,0,0,0,0,0,9.166101978513787,2,4.020200000000003,110.94340000000003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101155,CN(CCOCCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,1100.0,5.96,11.955977345813682,11.955977345813682,0.2029599392493957,-0.2029599392493957,0.4865622597659185,10.592592592592593,385.53300000000013,358.3170000000002,385.182398104,144,0,0.2568992548646261,-0.38005271542914326,0.38005271542914326,0.2568992548646261,1.037037037037037,1.7037037037037037,2.4074074074074074,32.09204718851717,10.19376174613791,2.0584715721905122,-2.1636454255176076,2.017322070505656,-2.393696259317601,7.798384911516011,0.09761639525880497,2.6832691950029077,1.4806547678426616,695.0876120381081,19.321780188492532,15.688101845907095,16.50459842683482,13.147867045540842,9.093741673419588,9.501989963883453,6.265357786029549,6.673606076493413,3.9267102704175256,4.173109910330899,2.4817541440996913,2.6765139196903074,-2.279999999999999,1188838.5164612082,21.02499529567129,12.169282737191283,8.770238949450063,166.26638196930543,10.05365155780638,0.0,5.112436884724758,0.0,5.907179729351506,0.0,15.011235518928629,0.0,0.0,0.0,48.53093654769288,43.38255267727011,31.804602673947638,6.606881964512918,9.53140013787187,23.237490057122958,0.0,15.533486938863138,0.0,12.965578028838586,33.35094872352818,71.7905736680101,0.0,0.0,10.633577208012662,0.0,0.0,12.217873443046695,49.270475068454914,11.281619359712625,0.0,22.34226179039182,60.6636706846161,0.0,0.0,0.0,53.6,0.0,4.794537184071822,0.0,5.907179729351506,30.434408711360163,19.51033443475116,5.563451491696996,12.13273413692322,24.26546827384644,46.846627195386766,16.954736396846744,5.661950864074331,5.136901151992137,14.19389638212783,6.0343349061010905,1.888766783813581,-0.2029599392493957,19.399982962161975,0.8231617185824436,3.808243028438328,2.0890554752910107,0.3333333333333333,27,2,5,0,0,0,1,2,0,2,0,0,4,2,6,0,10,0,0,0,0,0,9.47626341856076,2,2.829600000000001,112.72090000000003,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101518,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,30.0,7.52,12.00810233587368,12.00810233587368,0.2707205574995768,-0.2707205574995768,0.4956650919743104,10.62962962962963,405.95100000000014,381.7590000000002,405.127775688,144,0,0.25690100901405466,-0.3782935576637503,0.3782935576637503,0.25690100901405466,1.1111111111111112,1.8148148148148149,2.5185185185185186,35.49569200217377,10.19210047425559,2.0683090856396733,-2.1652113191417546,2.0872202193754554,-2.4023683402530738,7.7983877377065,0.0974275835453255,2.6548822299582624,1.5355113890115775,725.7664995798899,19.484916895309063,15.281609268540148,16.854034795486328,13.041713895658193,8.69340751244716,9.479620275920254,6.052672016482642,6.897356087418491,3.778090682553635,4.276466637806493,2.3540705205999064,2.6748184538602655,-1.9899999999999989,1027248.2714732905,21.31166139926959,11.666332465509203,8.491688898499799,170.2047060817905,10.05365155780638,0.0,5.112436884724758,0.0,5.907179729351506,0.0,15.011235518928629,0.0,0.0,0.0,41.932775232540564,49.09446519126732,30.22035402317605,13.213763929025836,9.53140013787187,34.83842994735547,0.0,15.533486938863138,0.0,6.544756405912575,33.35094872352818,70.74683991328982,0.0,0.0,10.633577208012662,0.0,0.0,23.81881333327921,49.270475068454914,11.281619359712625,0.0,15.921440167465814,54.59730361615449,5.022633313741326,0.0,0.0,53.6,0.0,4.794537184071822,0.0,11.019616614076263,30.344605140376732,13.08951281182515,5.563451491696996,24.26546827384644,18.19910120538483,34.71389305846355,28.555676287079258,5.604037884514074,10.920993694466466,14.216172902305537,6.443895091397628,1.7821274166366874,-0.2707205574995768,16.943264135163986,0.0,3.4058347022566045,2.0655058418697037,0.3,27,2,5,0,0,0,1,2,0,2,0,0,4,2,7,0,9,0,0,0,0,0,9.208478788008819,2,3.092900000000002,113.11390000000002,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101809,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,230.0,6.64,12.38769574731233,12.38769574731233,0.23095665811266142,-0.23095665811266142,0.36194720349607606,10.6875,447.60400000000016,418.3720000000003,447.198048168,166,0,0.25689998688655385,-0.3782935576637503,0.3782935576637503,0.25689998688655385,0.875,1.5,2.1875,32.09204748753453,10.038940828307862,2.0786703575915824,-2.165337848148356,2.1865578810671527,-2.4024193427031575,7.798390892916562,0.09742786327005035,2.8232059903973954,1.294729870671212,978.9734211586804,22.59780107043142,18.29039614147905,19.10689272240678,15.614193540729627,10.665108878465508,11.073357168929371,7.489154664625902,7.897402955089766,4.925891593232536,5.172291233145909,3.1974628071107962,3.3922225827014123,-3.0599999999999983,18017384.43164525,23.599929826438057,12.71175352412695,7.88753819830065,194.95853406097282,10.05365155780638,0.0,5.112436884724758,0.0,5.907179729351506,0.0,15.011235518928629,0.0,0.0,0.0,72.79640482153933,48.08863403773809,25.197720709434723,13.213763929025836,9.53140013787187,23.237490057122958,0.0,15.533486938863138,0.0,6.544756405912575,33.35094872352818,96.05604194185656,0.0,11.126902983393991,10.633577208012662,0.0,0.0,12.217873443046695,49.270475068454914,11.281619359712625,0.0,15.921440167465814,84.92913895846256,0.0,11.126902983393991,0.0,53.6,0.0,4.794537184071822,0.0,5.907179729351506,30.434408711360163,24.21641579521914,5.563451491696996,12.13273413692322,60.6636706846161,34.71389305846355,16.954736396846744,5.660737461561637,5.218207993599304,14.606630511275052,6.016975057118524,4.024366429619327,-0.23095665811266142,27.871778006151544,0.0,3.423873412473127,2.075054452980815,0.23076923076923078,32,2,5,0,0,0,1,3,0,3,0,0,4,2,6,0,10,0,0,0,0,0,9.374890348136647,3,4.106500000000004,133.53989999999993,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101940,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)c(Cl)c1)Cc1ccccc1,55.0,7.26,12.101682582787259,12.101682582787259,0.23691491241406615,-0.34766500194402084,0.45973496964909,10.714285714285714,440.39600000000013,417.2120000000002,439.088803336,150,0,0.256954624106138,-0.3782935576637503,0.3782935576637503,0.256954624106138,1.1071428571428572,1.8571428571428572,2.5714285714285716,35.49826301844278,10.188774156296027,2.0925958746286755,-2.16532427286163,2.2192349859628995,-2.4025637506091586,7.79839078154542,0.09742688702330632,2.670367759436068,1.5665350202934805,790.275196038519,20.35516038331214,15.582223472359749,17.910577945324384,13.452397498181153,8.799056415618441,9.963233652100763,6.174666954879475,7.397315498824551,3.8534700731459712,4.838898991797365,2.390175941025581,2.883026898238807,-1.6999999999999993,1506269.001329584,22.587673254706218,11.989019252220952,8.122842330166433,180.50797230867215,10.05365155780638,0.0,5.112436884724758,0.0,5.907179729351506,0.0,15.011235518928629,0.0,0.0,0.0,53.53371512277308,43.02809812280571,25.197720709434723,23.25903055650849,9.53140013787187,46.43936983758799,0.0,15.533486938863138,0.0,6.544756405912575,33.35094872352818,69.70310615856953,0.0,0.0,10.633577208012662,0.0,0.0,35.41975322351173,49.270475068454914,11.281619359712625,0.0,15.921440167465814,48.53093654769288,10.045266627482652,0.0,0.0,53.6,0.0,4.794537184071822,0.0,11.019616614076263,35.36723845411806,13.08951281182515,11.629818560158606,12.13273413692322,18.19910120538483,34.71389305846355,40.156616177311776,5.602320712796903,16.871516506737706,14.300954560750199,6.483563358284167,1.658319546266317,-0.34766500194402084,14.94366188863389,0.0,3.318393511271296,2.0578238060924297,0.3,28,2,5,0,0,0,1,2,0,2,0,0,4,2,8,0,9,0,0,0,0,0,9.67157319691247,2,3.7463000000000024,118.1239,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101988,CN(CCOCCNC(=S)Nc1ccc(Cl)cc1)Cc1ccccc1,1800.0,5.75,5.851559597355646,5.851559597355646,0.5760352827844366,0.5760352827844366,0.5135124380272569,10.68,377.94100000000014,353.7490000000002,377.132861068,134,0,0.17035845289927817,-0.37829355770938805,0.37829355770938805,0.17035845289927817,1.08,1.8,2.52,35.49569189128063,10.193904852873555,2.0044842221001504,-2.1659848074396097,2.1253164077094437,-2.3164675985119536,7.800803068752147,0.11352558199478863,2.606539703455162,1.5102323402049578,636.8772815467016,17.90756662611944,14.373360978076285,15.945786505022467,12.131030293135234,8.23928336721523,9.025496130688321,5.72354787125071,6.568231942186559,3.546708516047894,4.045084471300751,2.241840334313492,2.5877416947969594,-1.6599999999999997,419173.2889508453,19.66192528605641,11.05199923173491,8.314839585172347,159.6782418673501,15.37044016181271,0.0,5.112436884724758,0.0,0.0,0.0,4.899909730850477,0.0,0.0,0.0,41.932775232540564,49.09446519126732,30.344288806162616,13.213763929025836,4.736862953800049,34.61863649268753,0.0,10.216698334856808,0.0,6.544756405912575,38.66773732753451,65.18338842159281,0.0,0.0,10.633577208012662,5.687386274683562,0.0,23.81881333327921,43.36329533910341,11.281619359712625,0.0,5.563451491696996,54.59730361615449,5.022633313741326,0.0,0.0,36.53,0.0,0.0,0.0,0.0,29.893590533404495,18.776899086508713,5.563451491696996,0.0,30.33183534230805,46.846627195386766,28.555676287079258,5.649329691472548,11.09388195402494,2.2455215068531613,7.50570391917722,2.2181892674951356,0.0,17.837461380240697,0.0,3.7973604653846063,2.0969962597961334,0.3157894736842105,25,2,4,0,0,0,0,2,0,2,0,0,3,2,6,0,9,0,0,0,0,0,8.692143326236986,2,3.775000000000002,109.27040000000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL102077,CCCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],90000.0,4.05,11.295385093852357,11.295385093852357,0.0,-0.12041808390022646,0.3603239504202481,10.823529411764707,283.86499999999995,257.6569999999999,283.137277752,104,0,0.36700741480297555,-1.0,1.0,0.36700741480297555,1.1764705882352942,1.8235294117647058,2.3529411764705883,35.453001077573674,10.207244787899226,2.0883544067176287,-2.2265864463825755,2.099954543363476,-2.996003704017389,8.127768499011196,-0.8700292281464898,2.1522945892200154,0.0,195.43487504498293,12.441311299868556,11.499670408206608,13.07209593515279,7.454507021897173,6.054698038588681,7.040296598242169,5.021514479138864,6.051771237530874,2.199824849685591,3.0461775201056094,1.128845710105986,1.8106407559686573,0.06999999999999992,2064.0505110619947,19.41059150639198,11.177021240952834,16.07,116.27469005045624,21.62692697267465,13.151638370425493,0.0,0.0,0.0,5.3013372717726295,0.0,4.794537184071822,0.0,0.0,26.186202068468653,18.182706572317123,5.752853606746789,21.143015948031568,26.42146415674647,17.063222221163745,0.0,0.0,0.0,32.60702369139466,40.047507925203846,0.0,0.0,0.0,12.407033161179976,4.794537184071822,0.0,11.761884949391115,49.8318760546711,4.736862953800049,0.0,32.60702369139466,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,17.708370432952606,6.606881964512918,23.201462493279998,31.024349818169142,0.0,0.0,28.066753147722196,4.736862953800049,5.9608163265306136,1.3093575207860921,11.295385093852357,-0.12041808390022646,0.0,0.8920717592592593,0.0,4.82770322075111,3.5680387062232297,6.267045456497567,0.9166666666666666,17,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,12.761917268611873,0,0.14670000000000138,70.84740000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0
